Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0x715b0f291209c3de45ce0871b83d1dd060ae018078f27abd495d996b9efa17ec

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x328ce443a3941c3e53b0fd3eafdf61439f763cd566bc7adea8700d185a0b20fd

Wall St. Banker for most combined rigs + nodes on msytery block (13,000 chosen)
https://etherscan.io/tx/0xb5b6b9b328c9f2b431e7a51338f48d60d2c2c600cfc5b9042d8a7b74de583ac3
https://etherscan.io/tx/0xc3167367e37594605e6d747bad70d5d930676c9b3d31f7c8dc17dda7367d8a62

TOKEN ALLOCATION
0x5ae4d5A7bFA8a57c6be2d7C78d80CB41AaE42a67 : 695.33
0x6E298A37f937666dc6A24A900B5AcD1E359094Fd : 693.7
0x074426EAc2Bf274F256171d7FeBFba19ecAa1E0e : 693.48
0x9c70b1FFA4Af3B701856d31208F9ebAdd20454d5 : 686.36
0x5D844dc06b6ACAeE45f9730B585f14aFF24F8740 : 683.97
0x6c043839F35f53a7681aa6656Fd9dA9c8DD80928 : 676.68
0xCEc8F592748fBe855A19130238D515b686844533 : 676.52
0xA4061C63480A9E81c4c9535c9b6BB5b7251C3970 : 662.5
0xE721bA85dd09c35D746B5cfef1B1C66a14e08977 : 661.08
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 643.87
0xe20C54BaE4826173346A50E48B78C60FA141d333 : 642.54
0xe5C5bDB1ad8110160cA3577A13B6967a1F93E95E : 628.77
0x2d714773b460907b9ab13fb51B5a3dEdCf075aCD : 627.92
0xbf6D889a02D57A046D51CD93bD786d576c0Df99D : 615.28
0x3B3597A00c2dEdA1D81532Bb51492EbB24C04BA3 : 606.32
0x0b583737E850ea1B2dC854CC0Eb2dA9f2645124C : 590.13
0xFc47e1CC4bbC841Ff03196c1673a9ED1114b04Ee : 576.74
0xFB03A54CE24CBD74B8793D1CB1f8CD4154F61Fae : 566.46
0xa52c7e9BdCc973Fb4Bab286924893193479C9703 : 556.8
0xd09dcD38dB0dC65a6A3C54944AF57adD0D1f84f7 : 545.4
0xEaacfd4C07c6617D8062041a1B9a1ef022E7F91c : 542.52
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 528.98
0xb3AEF5e10899FD6CD6CC7C4276dB1E7f2360607B : 524.94
0xdb03B054725fa4345a9d80893e920a3F7CB41484 : 520.55
0xE952ffe541D1cF7cD66B17a98A737751f5375613 : 515.48
0xf7E3B4B9DB0F06173EecEEce4f766B1Fe9e9cd10 : 500.37
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 493.69
0xeA4F3A01367BcFc0CA922B728fa36d4C17d8bA90 : 493.28
0x7f54529F7d3AA1d173D9f9a68cA330157D8e1cE9 : 492.57
0x1A519018a441945e844e59e21fB6DAEf935eb5ED : 490.35
0x19D894c0483BF404160363147C7037E1594F1de2 : 488.25
0x331E4D195ef59E7F15eC6eAe7a219EA966Aa29c8 : 487.29
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 481.19
0x42961bd051D39596072E47daA6D24110d03cdcDA : 471.26
0x84b6a677ba8EB4FF293cF1cef9E7c34A51774e7F : 466.82
0x758B25034445f2ae701cf12dA628C7B9963916a7 : 457.66
0x5D2CFB120a75E241e8DBdB02a4E8B10ab4Ed709c : 448.18
0x51D8C6F566d815120A8980010FF720aAdAdaa54c : 430.36
0xF1c42C093B99039cf39A870c8634bE409F9099DA : 430.27
0xCE0E2538CaDCB5E9dAD2BaC94b51299B8e322C54 : 428.31
0xc6E97134Ca20966E83f7CC2921E0Aaf7F67E5239 : 427.56
0x08C638bc0C47A053E31a8110721DD220e52FC7E2 : 424.43
0x504385A4E61681255d056d2767C6cAA8f69cEc41 : 418.56
0x36945019940696a77c54981ED7BE6d3ED5d72A43 : 414.24
0x9111b7aD6422f63f9C6329EF7D23345fb94880Da : 411.52
0x39Cfb02d8b68a429b72549D4F971203D2A79374e : 410.86
0x1bb02c16ba7ab0c063EFa54e8eb73fcc6705525b : 407.59
0xAcd9C84C1FfCE27A346Fb0b43461132316986D26 : 407.48
0x9F858135e4AB06d6ef068D779DF1C4784598c33F : 406.81
0x00a0220549bbF5fAF90F83B33a94867108C59469 : 393.82
0x87Ce156Cf0Ae3B768fAd55A247bf48d56705cEF1 : 382.53
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 382.42
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 382.35
0x383400A62eFcBB53cFCf61CDaFF1046A77ADFf65 : 373.43
0xD837b5d83900de088300F24F34B03945B33A2e56 : 354.77
0x8F550DCafA9F5108e6A81260AB4EDCD225f4b96C : 351.3
0x1Ad4734D32fb1bA9b78D8B2642b88205478cF56B : 349.71
0x17A13156498EDE720B4bEfD36D113f8699d280C1 : 347.75
